UrusanPemerintahan,Organisasi,KodeRekening,Uraian,Jumlah
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 00 000 4,PENDAPATAN DAERAH,2.000.000.000
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 00 000 5,BELANJA DAERAH,8.330.826.450.905
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 01 121,Pembuatan DED Rehabilitasi Total Gedung SDN Batu Ampar 12,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 01 139,Penyelenggaraan Pendidikan Anak Usia Dini,5.637.995.273
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 02 001,Penyediaan Biaya Operasional TKN dan SLBN,5.338.311.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 04 001,Pembinaan Penyelenggaraan Pendidikan Inklusi,649.973.155
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 002,Penyelenggaraan Ujian Nasional dan Ujian Sekolah,10.689.835.251
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 003,Pembinaan dan Pengembangan Prestasi Peserta Didik,3.499.549.113
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 004,Pembinaan Kompetensi Guru,995.424.376
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 006,Bimtek Penguatan Implementasi Kurikulum 2013 MGMP,998.248.500
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 007,Penyelenggaraan dan Partisipasi Lomba Pendidikan,498.833.500
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 008,Penyelenggaraan dan Partisipasi Olimpiade,499.999.952
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 009,Penyelenggaraan dan Partisipasi Event Pendidikan,2.499.641.144
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 010,Seleksi dan Pemusatan Latihan Olimpiade,3.499.998.553
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 011,"Pengadaan Buku Kurikulum 2013 Peserta Didik dan Guru SMA, SMK Negeri dan Swasta",12.428.877.500
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 013,Lomba Debat Bahasa Indonesia dan Bahasa Asing Siswa SMK,1.599.999.488
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 014,Pengadaan raport siswa SD,1.500.000.000
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 015,Pengadaan raport siswa SMP,600.000.000
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 05 016,Pelaksanaan akreditasi sekolah/madrasah secara online,2.243.780.470
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 001,Penyelesaian Rehabilitasi Total Gedung SDN Rawabadak Selatan 11/12,11.199.001.596
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 002,Penyelesaian Rehabilitasi Total Gedung SDN Cakung Barat 14,6.193.443.718
