KomisiDPRD|SKPD|KodeRekening|Program|Pagu|Tambah|Kurang|HasilPembahasan
1|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Alat Peraga Edukatif IPS Tingkat SD|0|5.000.000.000|0|5.000.000.000
2|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Alat Peraga Tematik Matematika untuk SD|0|5.000.000.000|0|5.000.000.000
3|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Buku Pedoman Komite Sekolah SD|0|500.000.000|0|500.000.000
4|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Buku Pedoman Komite Sekolah SMA|0|500.000.000|0|500.000.000
5|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Buku Pedoman Komite Sekolah SMP|0|500.000.000|0|500.000.000
6|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Buku Pramuka|0|1.000.000.000|0|1.000.000.000
7|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Alat Pembelajaran Elektronika Berbasis TIK untuk SMK|0|3.000.000.000|0|3.000.000.000
8|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Alat Peraga Pendidikan Anak Usia Dini Bantuan untuk PAUD|0|15.000.000.000|0|15.000.000.000
9|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Alat Peraga Robotika untuk SMA/SMK|0|10.000.000.000|0|10.000.000.000
10|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Buku Trilogi AHOK : Dari Belitung Menuju Istana|0|10.000.000.000|0|10.000.000.000
11|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Buku Trilogi AHOK : Nekad Demi Rakyat|0|10.000.000.000|0|10.000.000.000
12|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Buku Trilogi AHOK : Tionghoa Keturunan Ku Indonesia Negara Ku Membangun Bangsa Cita-Cita Ku|0|10.000.000.000|0|10.000.000.000
13|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan CNC Simulator untuk Sekolah|0|4.000.000.000|0|4.000.000.000
14|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Modul Sertifikasi Test of English for International Communication Bridge (TOEIC BRIDGE)|0|20.000.000.000|0|20.000.000.000
15|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Peralatan Audio Class SD|0|4.500.000.000|0|4.500.000.000
16|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Peralatan Audio Class SMA/SMK|0|3.000.000.000|0|3.000.000.000
17|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Peralatan Audio Class SMP|0|3.500.000.000|0|3.500.000.000
18|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Perangkat Sains Bidang Teknologi Rekayasa untuk SMK Negeri 1 JAKARTA PUSAT|0|3.000.000.000|0|3.000.000.000
19|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Perangkat Sains Bidang Teknologi Rekayasa untuk SMK Negeri 26 JAKARTA TIMUR|0|3.000.000.000|0|3.000.000.000
20|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Perangkat Sains Bidang Teknologi Rekayasa untuk SMK Negeri 29 JAKARTA SELATAN|0|3.000.000.000|0|3.000.000.000
