KodeOrganisasi|Organisasi
1.01.001|DINAS PENDIDIKAN
1.01.002|Pusat Pengembangan Manajemen Sekolah
1.01.003|Planetarium dan Observatorium
1.01.004|Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS
1.01.005|Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKBAR
1.01.006|Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKSEL
1.01.007|Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKUT & Kep.Seribu
1.01.008|Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKTIM
1.01.009|Pusat Pelatihan dan Pengembangan Pendidikan Nonformal dan Informal (P3PNFI)
1.01.020|Sudin Pendidikan - Kep. Seribu
1.01.026|Pusat Perencanaan, Pengendalian Pendanaan Pendidikan Personal dan Operasional
1.01.027|Pusat Data dan Informasi
1.01.029|Sekolah Menengah Atas Negeri Unggulan Mohammad Husni Thamrin
1.01.030|Sudin Pendidikan I - JAKPUS
1.01.031|Sudin Pendidikan II - JAKPUS
1.01.032|Sudin Pendidikan I - JAKUT
1.01.033|Sudin Pendidikan II - JAKUT
1.01.034|Sudin Pendidikan I - JAKBAR
1.01.035|Sudin Pendidikan II - JAKBAR
1.01.036|Sudin Pendidikan I - JAKSEL
1.01.037|Sudin Pendidikan II - JAKSEL
1.01.038|Sudin Pendidikan I - JAKTIM
1.01.039|Sudin Pendidikan II - JAKTIM
1.02.001|DINAS KESEHATAN
1.02.002|BLUD Laboratorium Kesehatan Daerah
1.02.003|BLUD Akademi Keperawatan (AKPER) Jayakarta
1.02.004|Pusat Layanan Kesehatan Pegawai
1.02.005|BLUD RS Koja
1.02.006|BLUD RS Tarakan
1.02.007|BLUD RS Cengkareng
1.02.008|BLUD RS Pasar Rebo
1.02.009|BLUD RS Budhi Asih
1.02.010|BLUD RS Duren Sawit
1.02.011|BLUD Ambulan Gawat Darurat (AGD)
1.02.012|Sudin Kesehatan - JAKPUS
1.02.013|BLUD Puskesmas Kec. Tanah Abang - JAKPUS
1.02.014|BLUD Puskesmas Kec. Menteng - JAKPUS
1.02.015|BLUD Puskesmas Kec. Senen - JAKPUS
1.02.016|BLUD Puskesmas Kec. Cempaka Putih - JAKPUS
1.02.017|BLUD Puskesmas Kec. Johar Baru - JAKPUS
1.02.018|BLUD Puskesmas Kec. Kemayoran - JAKPUS
1.02.019|BLUD Puskesmas Kec. Sawah Besar - JAKPUS
1.02.020|BLUD Puskesmas Kec. Gambir - JAKPUS
1.02.021|Sudin Kesehatan - JAKUT
1.02.022|BLUD Puskesmas Kec. Penjaringan - JAKUT
1.02.023|BLUD Puskesmas Kec. Pademangan - JAKUT
1.02.024|BLUD Puskesmas Kec. Tanjung Priok - JAKUT
1.02.025|BLUD Puskesmas Kec. Koja - JAKUT
1.02.026|BLUD Puskesmas Kec. Kelapa Gading - JAKUT
1.02.027|BLUD Puskesmas Kec. Cilincing - JAKUT
1.02.028|Sudin Kesehatan - JAKBAR
1.02.029|BLUD Puskesmas Kec. Kebon Jeruk - JAKBAR
1.02.030|BLUD Puskesmas Kec. Kembangan - JAKBAR
1.02.031|BLUD Puskesmas Kec. Cengkareng - JAKBAR
1.02.032|BLUD Puskesmas Kec. Kalideres - JAKBAR
1.02.033|BLUD Puskesmas Kec. Grogol Petamburan - JAKBAR
1.02.034|BLUD Puskesmas Kec. Pal Merah - JAKBAR
1.02.035|BLUD Puskesmas Kec. Tambora - JAKBAR
1.02.036|BLUD Puskesmas Kec. Taman Sari - JAKBAR
1.02.037|Sudin Kesehatan - JAKSEL
1.02.038|BLUD Puskesmas Kec. Kebayoran Lama - JAKSEL
1.02.039|BLUD Puskesmas Kec. Pesanggrahan - JAKSEL
1.02.040|BLUD Puskesmas Kec. Pasar Minggu - JAKSEL
1.02.041|BLUD Puskesmas Kec. Jagakarsa - JAKSEL
1.02.042|BLUD Puskesmas Kec. Mampang Prapatan - JAKSEL
1.02.043|BLUD Puskesmas Kec. Pancoran - JAKSEL
1.02.044|BLUD Puskesmas Kec. Kebayoran Baru - JAKSEL
1.02.045|BLUD Puskesmas Kec. Setiabudi - JAKSEL
1.02.046|BLUD Puskesmas Kec. Tebet - JAKSEL
1.02.047|BLUD Puskesmas Kec. Cilandak - JAKSEL
1.02.048|Sudin Kesehatan - JAKTIM
1.02.049|BLUD Puskesmas Kec. Pasar Rebo - JAKTIM
1.02.050|BLUD Puskesmas Kec. Ciracas - JAKTIM
1.02.051|BLUD Puskesmas Kec. Cipayung - JAKTIM
1.02.052|BLUD Puskesmas Kec. Kramat Jati - JAKTIM
1.02.053|BLUD Puskesmas Kec. Makasar - JAKTIM
1.02.054|BLUD Puskesmas Kec. Jatinegara - JAKTIM
1.02.055|BLUD Puskesmas Kec. Duren Sawit - JAKTIM
1.02.056|BLUD Puskesmas Kec. Matraman - JAKTIM
1.02.057|BLUD Puskesmas Kec. Pulo Gadung - JAKTIM
